profile,layer,channel,tau
equal,1,9,2.904519557952881
equal,1,10,3.166238307952881
equal,1,11,8.175421714782715
equal,1,12,1.9482039213180542
equal,1,13,10.165644645690918
equal,1,14,7.668318271636963
equal,1,15,5.52032470703125
equal,1,16,2.8027992248535156
equal,1,17,4.692137241363525
equal,1,18,6.075990676879883
equal,1,19,2.1654226779937744
equal,1,20,2.1756749153137207
equal,1,21,3.1094415187835693
equal,1,22,2.977602243423462
equal,1,23,5.907401084899902
equal,1,24,2.196674346923828
equal,1,25,4.14689826965332
equal,1,26,2.7093331813812256
equal,1,27,3.2816877365112305
equal,1,28,2.3289554119110107
equal,1,29,5.761379718780518
equal,1,30,4.494327068328857
equal,1,31,1.6017868518829346
equal,1,32,1.5819517374038696
equal,2,1,5.337846755981445
equal,2,2,4.887491226196289
equal,2,3,5.899429798126221
equal,2,4,5.694430828094482
equal,2,5,4.302453994750977
equal,2,6,5.359251976013184
equal,2,7,5.080543518066406
equal,2,8,4.969235420227051
equal,2,9,3.3259291648864746
equal,2,10,5.186680316925049
equal,2,11,3.0966272354125977
equal,2,12,2.8441171646118164
equal,2,13,5.179008483886719
equal,2,14,4.673789024353027
equal,2,15,5.1883769035339355
equal,2,16,4.6472015380859375
equal,2,17,4.68349027633667
equal,2,18,4.147424697875977
equal,2,19,1.1259108781814575
equal,2,20,3.576228380203247
equal,2,21,5.0658063888549805
equal,2,22,2.452298879623413
equal,2,23,3.741428852081299
equal,2,24,2.585761547088623
equal,2,25,3.9829225540161133
equal,2,26,3.8958046436309814
equal,2,27,5.099288463592529
equal,2,28,5.056285858154297
equal,2,29,5.28729248046875
equal,2,30,5.305548191070557
equal,2,31,5.05476713180542
equal,2,32,4.180589199066162
equal,2,33,5.184599876403809
equal,2,34,5.103612899780273
equal,2,35,1.100000023841858
equal,2,36,3.199511766433716
equal,2,37,2.0253727436065674
equal,2,38,4.1545233726501465
equal,2,39,2.3265440464019775
equal,2,40,1.1260185241699219
equal,2,41,1.1411921977996826
equal,2,42,5.670435428619385
equal,2,43,4.741621017456055
equal,2,44,1.102793574333191
equal,2,45,3.8072919845581055
equal,2,46,4.85235071182251
equal,2,47,3.5017640590667725
equal,2,48,4.006226539611816
equal,2,49,5.068987846374512
equal,2,50,1.100000023841858
equal,2,51,1.1049976348876953
equal,2,52,5.320066928863525
equal,2,53,5.052726745605469
equal,2,54,5.418902397155762
equal,2,55,3.348828077316284
equal,2,56,5.139366149902344
equal,2,57,1.1493728160858154
equal,2,58,5.045341491699219
equal,2,59,5.237820625305176
equal,2,60,4.942092418670654
equal,2,61,4.427109718322754
equal,2,62,3.4858124256134033
equal,2,63,5.009556770324707
equal,2,64,1.203648567199707
equal,3,1,2.6296889781951904
equal,3,2,4.970458030700684
equal,3,3,1.4780231714248657
equal,3,4,5.065420150756836
equal,3,5,2.1651744842529297
equal,3,6,2.229879856109619
equal,3,7,2.346952438354492
equal,3,8,5.424458980560303
equal,3,9,2.110506772994995
equal,3,10,5.688296794891357
equal,3,11,4.7994513511657715
equal,3,12,8.786465644836426
equal,3,13,3.3945555686950684
equal,3,14,8.430000305175781
equal,3,15,2.5687742233276367
equal,3,16,3.132507562637329
equal,3,17,3.839780330657959
equal,3,18,7.643554210662842
equal,3,19,3.296222686767578
equal,3,20,8.668133735656738
equal,3,21,8.76591968536377
equal,3,22,4.312347412109375
equal,3,23,9.744218826293945
equal,3,24,2.0133402347564697
equal,3,25,1.804795503616333
equal,3,26,2.52876353263855
equal,3,27,2.1619811058044434
equal,3,28,1.1626182794570923
equal,3,29,3.2263541221618652
equal,3,30,4.227102756500244
equal,3,31,2.8538551330566406
equal,3,32,2.7604715824127197
equal,3,33,3.071711778640747
equal,3,34,4.94530725479126
equal,3,35,7.236564636230469
equal,3,36,2.0609443187713623
equal,3,37,1.5266422033309937
equal,3,38,8.895471572875977
equal,3,39,2.0663392543792725
equal,3,40,3.4034087657928467
equal,3,41,3.228517770767212
equal,3,42,3.3940844535827637
equal,3,43,6.006697177886963
equal,3,44,3.7320752143859863
equal,3,45,9.598520278930664
equal,3,46,3.540771245956421
equal,3,47,7.6162309646606445
equal,3,48,3.1587018966674805
equal,3,49,4.169644355773926
equal,3,50,3.0890748500823975
equal,3,51,2.195829391479492
equal,3,52,7.128289699554443
equal,3,53,4.198150634765625
equal,3,54,4.1781792640686035
equal,3,55,3.470719814300537
equal,3,56,4.571459770202637
equal,3,57,3.6333565711975098
equal,3,58,3.481982469558716
equal,3,59,2.9736757278442383
equal,3,60,3.8615779876708984
equal,3,61,1.2187033891677856
equal,3,62,8.842313766479492
equal,3,63,3.8202133178710938
equal,3,64,4.536652565002441
equal,3,65,5.197869300842285
equal,3,66,2.9198834896087646
equal,3,67,1.2453138828277588
equal,3,68,1.8053406476974487
equal,3,69,3.522552490234375
equal,3,70,4.054530143737793
equal,3,71,9.945677757263184
equal,3,72,7.787608623504639
equal,3,73,4.045811176300049
equal,3,74,2.2971041202545166
equal,3,75,3.858949661254883
equal,3,76,4.273133277893066
equal,3,77,3.7706356048583984
equal,3,78,4.270560264587402
equal,3,79,4.723207950592041
equal,3,80,1.1328508853912354
equal,3,81,4.844936847686768
equal,3,82,2.6141998767852783
equal,3,83,3.293299674987793
equal,3,84,2.696532726287842
equal,3,85,2.6172432899475098
equal,3,86,7.786492347717285
equal,3,87,3.339937210083008
equal,3,88,1.6689428091049194
equal,3,89,2.7482404708862305
equal,3,90,2.285256862640381
equal,3,91,5.956220626831055
equal,3,92,3.6110646724700928
equal,3,93,9.067288398742676
equal,3,94,3.745546579360962
equal,3,95,5.330122470855713
equal,3,96,4.209114074707031
equal,3,97,5.770838260650635
equal,3,98,3.290099620819092
equal,3,99,8.913028717041016
equal,3,100,1.2754005193710327
equal,3,101,1.5637251138687134
equal,3,102,2.397003173828125
equal,3,103,2.050572156906128
equal,3,104,3.8660831451416016
equal,3,105,2.5664451122283936
equal,3,106,1.339379072189331
equal,3,107,2.3997108936309814
equal,3,108,2.6629221439361572
equal,3,109,3.1358370780944824
equal,3,110,2.3393375873565674
equal,3,111,2.5462729930877686
equal,3,112,2.328899621963501
equal,3,113,4.389529705047607
equal,3,114,1.7423046827316284
equal,3,115,3.2052462100982666
equal,3,116,2.1029410362243652
equal,3,117,5.632765769958496
equal,3,118,3.3540117740631104
equal,3,119,2.0937118530273438
equal,3,120,2.1580886840820312
equal,3,121,2.098353624343872
equal,3,122,2.0222225189208984
equal,3,123,9.144685745239258
equal,3,124,4.266886234283447
equal,3,125,3.6422319412231445
equal,3,126,8.235340118408203
equal,3,127,3.4092280864715576
equal,3,128,2.305084705352783
equal,4,1,1.7582751512527466
equal,4,2,2.0560829639434814
equal,4,3,6.367544174194336
equal,4,4,1.9922795295715332
equal,4,5,3.8307700157165527
equal,4,6,6.3792290687561035
equal,4,7,5.42794942855835
equal,4,8,2.6323959827423096
equal,4,9,1.5486127138137817
equal,4,10,1.9368579387664795
equal,4,11,6.6025471687316895
equal,4,12,7.08130407333374
equal,4,13,2.0119447708129883
equal,4,14,3.0813047885894775
equal,4,15,1.4438263177871704
equal,4,16,4.16748571395874
equal,4,17,6.187715530395508
equal,4,18,6.7019500732421875
equal,4,19,5.821990489959717
equal,4,20,3.735562562942505
equal,4,21,6.135977268218994
equal,4,22,6.029203414916992
equal,4,23,3.231539487838745
equal,4,24,4.217668533325195
equal,4,25,1.6176412105560303
equal,4,26,2.088879108428955
equal,4,27,5.598041534423828
equal,4,28,1.6589492559432983
equal,4,29,2.2339706420898438
equal,4,30,1.8181887865066528
equal,4,31,2.424023389816284
equal,4,32,5.714039325714111
equal,4,33,2.290156364440918
equal,4,34,5.280074119567871
equal,4,35,6.751055717468262
equal,4,36,5.930809020996094
equal,4,37,5.686964988708496
equal,4,38,4.769024848937988
equal,4,39,4.975081443786621
equal,4,40,3.148880958557129
equal,4,41,1.6495444774627686
equal,4,42,3.979522705078125
equal,4,43,2.179094076156616
equal,4,44,5.265171527862549
equal,4,45,6.102834701538086
equal,4,46,6.458467960357666
equal,4,47,2.345496892929077
equal,4,48,1.806162714958191
equal,4,49,6.135709762573242
equal,4,50,2.6399343013763428
equal,4,51,1.7232825756072998
equal,4,52,5.205408573150635
equal,4,53,5.989553451538086
equal,4,54,1.8516737222671509
